State,APMC,Commodity,Min Price (Rs.),Modal Price (Rs.),Max Price (Rs.),Arrivals,Traded Quantity,Unit,Date,APMC_Selected,Commodity_Selected
No record Found.,ANDAMAN HI TECH KISAN MANDI,
ANDHRA PRADESH,ADONI,COTTON,"5,489","7,739","8,079",613,620,Qui,17-04-2025,ADONI,
ANDHRA PRADESH,ADONI,GROUND NUT,"2,712","5,584","7,809",380,498,Qui,17-04-2025,ADONI,
ANDHRA PRADESH,ADONI,RED CHILLI-DRY,"1,650","2,379","7,081",0,41,Qui,17-04-2025,ADONI,
ANDHRA PRADESH,ADONI,CASTOR SEED,"4,900","6,070","6,120",34,37,Qui,17-04-2025,ADONI,
ANDHRA PRADESH,ADONI,ARHAR WHOLE / TUR (RED GRAM),"5,646","5,646","5,646",3,3,Qui,17-04-2025,ADONI,
No record Found.,ANAKAPALLI,
ANDHRA PRADESH,ANANTHAPURAMU,MOUSAMBI,300,"1,400","1,900","9,948","10,616",Qui,18-04-2025,ANANTHAPURAMU,
ANDHRA PRADESH,ANANTHAPURAMU,MOUSAMBI,250,"1,200","2,200","10,343","9,773",Qui,17-04-2025,ANANTHAPURAMU,
No record Found.,BOBBILI APMC,
No record Found.,CHILAKALURIPET APMC,
ANDHRA PRADESH,DENDULURU,LEMON,"1,500","5,000","12,200",414,395,Qui,17-04-2025,DENDULURU,
ANDHRA PRADESH,DENDULURU,LEMON,"4,000","5,000","13,500",411,392,Qui,18-04-2025,DENDULURU,
ANDHRA PRADESH,DUGGIRALA,TURMERIC FINGER,"8,275","8,275","12,275",752,409,Qui,17-04-2025,DUGGIRALA,
ANDHRA PRADESH,DUGGIRALA,TURMERIC BULB,"3,000","8,275","12,311",305,186,Qui,17-04-2025,DUGGIRALA,
ANDHRA PRADESH,ELURU,LEMON,"5,000","7,000","11,000","2,162","2,111",Qui,18-04-2025,ELURU,
ANDHRA PRADESH,ELURU,LEMON,"5,000","7,000","12,000","1,788","1,763",Qui,17-04-2025,ELURU,
No record Found.,GOPALAPURAM,
ANDHRA PRADESH,GUNTUR,CHILLI-TEJA,"1,300","12,000","16,000","35,163","18,367",Qui,17-04-2025,GUNTUR,
ANDHRA PRADESH,GUNTUR,CHILLI-334,"3,500","9,000","15,000","12,727","6,774",Qui,17-04-2025,GUNTUR,
ANDHRA PRADESH,GUNTUR,CHILLI-TEJA,"2,546","13,000","22,700",0,"6,652",Qui,18-04-2025,GUNTUR,
ANDHRA PRADESH,GUNTUR,CHILLI-THAALU,"2,000","6,000","13,800","9,284","4,260",Qui,17-04-2025,GUNTUR,
ANDHRA PRADESH,GUNTUR,CHILLI-341,"4,000","10,000","14,500","4,290","3,475",Qui,17-04-2025,GUNTUR,
ANDHRA PRADESH,GUNTUR,CHILLI-334,"3,500","9,000","13,800",0,"2,811",Qui,18-04-2025,GUNTUR,
ANDHRA PRADESH,GUNTUR,CHILLI BADIGA,"3,500","10,000","19,500","4,290","2,433",Qui,17-04-2025,GUNTUR,
ANDHRA PRADESH,GUNTUR,CHILLI-THAALU,"3,200","6,000","13,200",0,"2,339",Qui,18-04-2025,GUNTUR,
